Adorable: lovable, charming, delightful
Ancient: elderly, old, antique
Arrogant: egotistical, overconfident, conceited
Cheesy: trashy, tawdry, far-fetched
Crazed: insane, wild, deranged
Easy: effortless,entle, promiscuous
Feminine: womanly, ladylike, unmanly
Important: significant, substantial, momentous
Nerdy: unhip, uncool, dorky
Profound: deep, wise, thoughtful
Responsible: accountable, obligated, mature
Sensitive: susceptible, sympathetic, tender
Unforgettable: notable, impressive, remarkable
Unscrupulous: unethical, corrupt, unprincipled
Zany: crazy, funny, wacky
